mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
3.356,0.987,2.868,0.516,0.085,0.256,3.725,1.803,0.0
3.07,0.988,2.911,0.588,0.081,0.224,3.803,1.8,0.0
3.243,0.987,2.501,0.529,0.085,0.245,3.36,1.832,0.0
2.67,0.99,2.734,0.593,0.068,0.208,3.604,1.846,0.0
3.574,0.986,2.588,0.541,0.088,0.221,3.438,1.801,0.0
2.743,0.989,3.072,0.51,0.068,0.232,3.883,1.79,0.0
3.412,0.986,2.547,0.465,0.088,0.262,3.362,1.804,0.0
3.36,0.987,2.435,0.495,0.084,0.241,3.255,1.818,0.0
2.861,0.989,2.422,0.481,0.073,0.221,3.199,1.814,0.0
3.089,0.988,2.506,0.517,0.078,0.225,3.325,1.825,0.0
3.54,0.986,2.52,0.443,0.086,0.288,3.338,1.818,0.0
2.709,0.989,3.07,0.526,0.069,0.243,3.908,1.84,0.0
3.23,0.987,2.635,0.55,0.078,0.197,3.461,1.818,0.0
3.286,0.986,2.165,0.441,0.085,0.228,2.919,2.038,0.0
3.33,0.987,2.907,0.45,0.081,0.263,3.7,1.862,0.0
3.078,0.988,2.715,0.456,0.075,0.225,3.47,1.776,0.0
2.812,0.989,3.484,0.404,0.068,0.238,4.195,1.749,0.0
2.637,0.989,3.109,0.441,0.071,0.248,3.868,1.766,0.0
3.16,0.988,2.725,0.428,0.076,0.225,3.454,1.766,0.0
3.34,0.987,3.503,0.448,0.078,0.242,4.271,1.762,0.0
3.32,0.987,2.702,0.508,0.082,0.254,3.547,1.802,0.0
3.21,0.988,2.473,0.55,0.077,0.225,3.325,1.797,0.0
2.65,0.989,3.135,0.525,0.066,0.218,3.943,1.785,0.0
2.733,0.989,2.746,0.481,0.07,0.226,3.524,1.802,0.0
3.26,0.987,2.505,0.477,0.075,0.218,3.275,1.824,0.0
3.31,0.987,3.024,0.513,0.08,0.222,3.84,1.818,0.0
2.922,0.988,2.449,0.446,0.071,0.22,3.186,1.818,0.0
3.41,0.987,2.574,0.418,0.078,0.203,3.275,1.827,0.0
3.089,0.988,2.973,0.425,0.08,0.26,3.739,1.835,0.0
3.59,0.986,2.588,0.46,0.084,0.263,3.395,1.829,0.0
2.882,0.989,2.705,0.496,0.073,0.244,3.517,1.861,0.0
